fid,Name,descriptio,id,cable_id,color,length,rfs,owners,url,geometry
31,NATITUA,"<div class=""googft-info-window"">
<b>id:</b> natitua<br>
<b>cable_id:</b> 1916<br>
<b>description:</b> [{""landing_point_id"":17070,""name"":""Arutua, French Polynesia"",""latlon"":""-15.289900,-146.786154""},{""landing_point_id"":17072,""name"":""Fakarava, French Polyn",natitua,1916,#b6b8ba,"2,400 km",Q4 2018,OPT French Polynesia,,"MULTILINESTRING ((-143.999824 -16.953455, -143.437324 -17.061035, -142.424825 -17.490732, -141.187326 -18.026426, -140.908127 -18.215741), (-145.799822 -15.657788, -145.799822 -15.874323, -145.743573 -16.090626, -145.624578 -16.310348), (-146.924822 -15.549434, -146.868572 -15.657788, -146.673845 -15.741366), (-146.587322 -15.549434, -146.643572 -15.441024, -146.78615 -15.289888), (-147.149822 -15.549434, -146.924822 -15.549434, -146.587322 -15.549434, -145.799822 -15.657788, -145.349823 -15.982504, -145.124823 -16.306693, -144.562323 -16.73811, -143.999824 -16.953455, -143.774824 -16.845813, -143.774824 -16.73811, -143.867207 -16.539561), (-147.149822 -15.224032, -147.374821 -15.115452, -147.651286 -15.116207), (-139.387327 -9.845097, -139.049827 -9.845097, -139.021116 -9.75464), (-145.349823 -14.135775, -145.124823 -14.244843, -144.972186 -14.449769), (-145.912322 -14.789381, -145.912322 -14.571726, -145.958123 -14.402858), (-140.142112 -8.860524, -139.724827 -9.290424, -139.387327 -9.845097, -139.499827 -10.177457, -140.399826 -11.062032, -144.899823 -13.698987, -145.349823 -14.135775, -145.462323 -14.571726, -145.912322 -14.789381, -146.699822 -14.789381, -147.149822 -15.224032, -147.149822 -15.549434, -147.374821 -15.874323, -148.72482 -17.383402, -149.308121 -17.723342))"
32,Hong Kong-Americas (HKA),"<div class=""googft-info-window"">
<b>id:</b> hong-kong-americas-hka<br>
<b>cable_id:</b> 1933<br>
<b>description:</b> [{""landing_point_id"":5856,""name"":""Chung Hom Kok, Hong Kong, China"",""latlon"":""22.222045,114.203028""},{""landing_point_id"":4966,""name"":""Herm",hong-kong-americas-hka,1933,#b6b8ba,"13,000 km",2020,"Facebook,  Telstra,  Tata Communications,  China Telecom,  China Unicom",,"MULTILINESTRING ((179.999947 42.079236, 172.799952 42.079236, 160.199961 38.651812, 138.599976 25.348717, 130.949981 22.26137, 125.999985 20.796306, 122.849987 19.952623, 120.149989 19.952623, 118.34999 20.796306, 116.999991 21.530685, 115.649992 21.739743, 114.749993 21.948678, 114.202923 22.22205), (-118.399451 33.862476, -120.59984 33.565491, -122.399839 33.565491, -129.712422 36.87322, -138.712416 40.043692, -151.312407 42.079236, -179.88721 42.079236))"
33,Curie,"<div class=""googft-info-window"">
<b>id:</b> curie<br>
<b>cable_id:</b> 1932<br>
<b>description:</b> [{""landing_point_id"":3678,""name"":""Los Angeles, California, United States"",""latlon"":""34.053399,-118.245347""},{""landing_point_id"":3331,""name"":""Valparaíso,",curie,1932,#b6b8ba,"10,000 km",2019,Google,,"MULTILINESTRING ((-71.620432 -33.04554, -73.124874 -31.851466, -79.649869 -18.453814, -84.149866 -11.503334, -85.499865 -6.616651, -85.949865 0.568579, -87.064757 5.534178, -92.69986 9.524411, -98.099856 12.615396, -104.399852 16.102326, -108.449849 18.678647, -114.299845 22.469444, -118.799842 27.763589, -119.699841 31.286739, -119.249841 32.812319, -118.799842 33.892961, -118.245356 34.053394))"
34,Venezuela Festoon,"<div class=""googft-info-window"">
<b>id:</b> venezuela-festoon<br>
<b>cable_id:</b> 1094<br>
<b>description:</b> [{""landing_point_id"":7862,""name"":""Cabimas, Venezuela"",""latlon"":""10.395952,-71.451095""},{""landing_point_id"":5966,""name"":""Camuri, Venezuela"",""la",venezuela-festoon,1094,#3dad49,"1,200 km",1998,CANTV,,"MULTILINESTRING ((-71.451096 10.395929, -71.59841 10.688176, -71.549875 11.073983, -71.099875 11.405009, -70.424876 11.62548, -70.204319 11.708781, -69.862376 11.62548, -69.677806 11.402807, -69.524877 11.515266, -69.299877 11.62548, -68.737377 11.570378, -68.399877 11.294709, -68.284497 10.928561, -68.009594 10.478139, -67.724878 10.632033, -67.387378 10.742582, -67.162378 10.742582, -66.878296 10.606502, -66.599879 10.742582, -66.262379 10.742582, -66.149879 10.632033, -66.098121 10.480348, -65.699879 10.410817, -65.24988 10.410817, -64.6449 10.202514, -64.182107 10.454323, -64.40613 10.632033, -64.34988 10.797841, -64.01238 10.742582, -63.847634 10.955216, -63.250516 10.666776))"
35,Silk Route Gateway (SRG-1),"<div class=""googft-info-window"">
<b>id:</b> silk-route-gateway-srg-1<br>
<b>cable_id:</b> 1849<br>
<b>description:</b> [{""landing_point_id"":16371,""name"":""Gwador, Pakistan"",""latlon"":""25.132297,62.325026""},{""landing_point_id"":3259,""name"":""Karachi, Pakistan",silk-route-gateway-srg-1,1849,#b6b8ba,"1,030 km",June 2020,"Multinet Pakistan,  Omantel",http://www.silkroutegateway-1.com,"MULTILINESTRING ((62.32503 25.132303, 62.55003 24.327803), (67.028542 24.889728, 62.55003 24.327803, 60.641706 24.312619, 58.950032 23.865671, 58.591146 23.615093))"
36,Fibra Optica Austral,"<div class=""googft-info-window"">
<b>id:</b> fibra-optica-austral<br>
<b>cable_id:</b> 1922<br>
<b>description:</b> [{""landing_point_id"":9427,""name"":""Puerto Montt, Chile"",""latlon"":""-41.460371,-72.953413""},{""landing_point_id"":17032,""name"":""Puerto Williams,",fibra-optica-austral,1922,#b6b8ba,"2,800 km",Q4 2019,Subtel,http://foa.subtel.cl/,"MULTILINESTRING ((-71.549875 -53.360792, -71.212375 -53.293602, -70.933335 -53.166662), (-76.049872 -47.948158, -75.149873 -47.87275, -74.699873 -47.797233, -74.249873 -47.797233, -73.536885 -47.801218), (-72.953414 -41.460372, -73.349874 -41.651267, -73.799873 -41.735272, -74.249873 -41.902954, -75.149873 -43.555576, -76.049872 -46.728433, -76.049872 -47.948158, -75.599872 -51.718874, -75.149873 -52.27301, -74.137373 -52.820304, -72.899874 -53.158904, -71.549875 -53.360792, -71.099875 -53.89451, -70.199876 -54.421497, -68.849877 -54.941795, -68.174877 -55.006364, -67.605859 -54.935203))"
37,SABR,"<div class=""googft-info-window"">
<b>id:</b> sabr<br>
<b>cable_id:</b> 1929<br>
<b>description:</b> [{""landing_point_id"":3921,""name"":""Cape Town, South Africa"",""latlon"":""-33.919164,18.421934""},{""landing_point_id"":3352,""name"":""Recife, Brazil"",""latlon"":""-8.0",sabr,1929,#b6b8ba,n.a.,2019,Seaborn Group,http://www.seabornnetworks.com,"MULTILINESTRING ((-34.871971 -8.055323, -32.399903 -9.290424, -26.549907 -13.698987, -19.799912 -18.88014, -5.399922 -27.153831, 1.800073 -30.309953, 14.400064 -33.367637, 16.650062 -33.649045, 17.550062 -33.836142, 18.449915 -33.693319))"
38,Djibouti Africa Regional Express (DARE),"<div class=""googft-info-window"">
<b>id:</b> djibouti-africa-regional-express-dare<br>
<b>cable_id:</b> 1863<br>
<b>description:</b> [{""landing_point_id"":10093,""name"":""Berbera, Somalia"",""latlon"":""10.435112,45.010874""},{""landing_point_id"":16373,""name"":""Bos",djibouti-africa-regional-express-dare,1863,#b6b8ba,"5,400 km",2019,"Djibouti Telecom,  Africa Marine Express,  Telesom,  Hormuud Telecom Somalia,  Golis Telecommunications,  Somtel International",,"MULTILINESTRING ((45.344183 2.041202, 46.800041 2.143087, 48.60004 1.468427), (49.18793 11.275556, 48.82504 11.73565, 48.60004 12.065895), (45.010882 10.435116, 45.450042 11.184367), (44.550043 11.405009, 45.450042 11.184367, 48.60004 12.065895, 52.650037 12.944534, 54.000036 13.273238, 54.900035 12.615396, 54.450036 9.524411, 51.750038 5.510072, 48.60004 1.468427, 45.675042 -1.456254, 42.300044 -3.703826, 39.672898 -4.052927), (44.550043 11.405009, 43.650043 11.597715, 43.147993 11.594869))"
39,PEACE Cable,"<div class=""googft-info-window"">
<b>id:</b> peace-cable<br>
<b>cable_id:</b> 1923<br>
<b>description:</b> [{""landing_point_id"":4177,""name"":""Djibouti City, Djibouti"",""latlon"":""11.594682,43.147984""},{""landing_point_id"":16371,""name"":""Gwadar, Pakistan"",""latl",peace-cable,1923,#b6b8ba,"8,800 km",Q4 2019,Tropic Science Co.,,"MULTILINESTRING ((65.250028 22.884654, 63.00003 24.532658, 62.324981 25.132259), (55.350035 13.929304, 55.125035 12.615396, 54.900035 9.524411, 52.650037 5.510072, 49.500039 1.468427, 45.900042 -1.681169, 42.300044 -3.928327, 39.672898 -4.052927), (67.028542 24.889728, 65.250028 22.884654, 64.350029 20.375041, 60.975031 16.965103, 58.950032 15.669513, 55.350035 13.929304, 48.60004 12.285834, 45.450042 11.405009, 44.550043 11.62548, 43.650043 11.652859, 43.147993 11.594869))"
41,WALL-LI,"<div class=""googft-info-window"">
<b>id:</b> wall-li<br>
<b>cable_id:</b> 1926<br>
<b>description:</b> [{""landing_point_id"":3822,""name"":""Wall Township, New Jersey, United States"",""latlon"":""40.152908,-74.062861""},{""landing_point_id"":7194,""name"":""Westbury,",wall-li,1926,#b6b8ba,98 km,June 2019,Crosslake Fibre,http://www.crosslakefibre.ca,"MULTILINESTRING ((-73.586824 40.757107, -73.406124 40.558443, -73.518624 40.301577, -73.799873 40.215724, -74.062862 40.152831))"
318,Tangerine,"<div class=""googft-info-window"">
<b>id:</b> tangerine<br>
<b>cable_id:</b> 1324<br>
<b>description:</b> [{""landing_point_id"":6033,""name"":""Broadstairs, United Kingdom"",""latlon"":""51.358884,1.439434""},{""landing_point_id"":5789,""name"":""Ostend, Belgium"",""latlo",tangerine,1324,#26af74,112 km,September 2000,CenturyLink,,"MULTILINESTRING ((1.440991 51.358575, 1.800073 51.235992, 2.475072 51.235992, 2.912767 51.231222))"
42,Skagerrak 4,"<div class=""googft-info-window"">
<b>id:</b> skagerrak-4<br>
<b>cable_id:</b> 1875<br>
<b>description:</b> [{""landing_point_id"":3131,""name"":""Kristiansand, Norway"",""latlon"":""58.150958,7.996255""},{""landing_point_id"":16362,""name"":""Tjele, Denmark"",""latlon"":""5",skagerrak-4,1875,#61bc47,137 km,December 2014,Statnett,,"MULTILINESTRING ((7.99626 58.151065, 8.437568 57.932057, 8.775068 57.57189, 9.112568 57.147146, 9.112568 56.840739, 9.225068 56.717468, 9.281318 56.593793, 9.337568 56.562811, 9.611689 56.510794))"
43,AURORA,"<div class=""googft-info-window"">
<b>id:</b> aurora<br>
<b>cable_id:</b> 1924<br>
<b>description:</b> [{""landing_point_id"":8722,""name"":""Balboa, Panama"",""latlon"":""8.950030,-79.566679""},{""landing_point_id"":5791,""name"":""Belize City, Belize"",""latlon"":""17.4954",aurora,1924,#b6b8ba,n.a.,Q1 2020,FP Telecommunications,http://fptelecoms.com/,"MULTILINESTRING ((-80.099869 9.967915, -79.649869 10.410817, -78.29987 11.294709, -76.049872 11.184367, -75.505732 10.386791), (-83.03766 9.988594, -82.799867 10.410817, -80.999868 10.85309), (-83.771546 11.991682, -83.474867 11.955858, -82.799867 11.73565, -80.999868 11.73565), (-87.299864 16.965103, -87.749864 16.534196, -88.087363 16.102326, -88.597135 15.727238), (-86.399865 16.965103, -86.062365 16.534196, -85.954699 15.915245), (-87.549864 17.716802, -88.182188 17.496385), (-86.399865 21.058957, -86.512364 21.058911, -86.767589 21.095725), (-82.539626 27.338874, -83.249867 25.348717, -85.049866 23.711258, -85.724865 22.677206, -86.287365 21.635297, -86.399865 21.058957, -86.399865 20.796306, -86.512364 20.375041, -87.299864 18.251816, -87.549864 17.716802, -87.299864 16.965103, -86.399865 16.965103, -85.049866 17.180187, -83.699866 17.180187, -82.349867 16.102326, -80.999868 13.929304, -80.999868 11.73565, -80.999868 10.85309, -80.099869 9.967915, -79.753476 9.437721, -79.566617 8.950316, -79.19987 8.190543, -78.74987 7.298763, -79.19987 5.061987, -81.449868 2.367913, -82.349867 0.568579, -83.699866 -1.231316, -84.599866 -3.029996, -84.599866 -6.616651, -83.249867 -11.503334, -78.74987 -18.453814, -75.149873 -27.153831, -72.899874 -31.851466, -71.620432 -33.04554), (-82.349867 0.568579, -81.112368 -0.331409, -80.716128 -0.949727))"
44,Crosslake Fibre,"<div class=""googft-info-window"">
<b>id:</b> crosslake-fibre<br>
<b>cable_id:</b> 1925<br>
<b>description:</b> [{""landing_point_id"":3569,""name"":""Buffalo, New York, United States"",""latlon"":""42.885438,-78.878459""},{""landing_point_id"":3033,""name"":""Toronto, O",crosslake-fibre,1925,#b6b8ba,58 km,October 2018,Crosslake Fibre,http://www.crosslakefibre.ca,"MULTILINESTRING ((-79.385319 43.644626, -79.08737 43.482828, -78.91862 43.237448, -78.86237 43.073311, -78.878459 42.885437))"
45,Eastern Light,"<div class=""googft-info-window"">
<b>id:</b> eastern-light<br>
<b>cable_id:</b> 1710<br>
<b>description:</b> [{""landing_point_id"":7694,""name"":""Hanko, Finland"",""latlon"":""59.823211,22.968221""},{""landing_point_id"":3064,""name"":""Helsinki, Finland"",""latlon"":""60",eastern-light,1710,#b6b8ba,n.a.,2018,Eastern Light,https://www.easternlight.se,"MULTILINESTRING ((18.062757 59.332308, 18.900061 59.451717, 20.25006 59.565883, 21.375059 59.679664, 22.725058 59.736409, 22.966757 59.823409, 23.175058 59.736409, 23.850057 59.736409, 24.412557 59.849612, 24.932478 60.171163, 25.200056 60.074868, 26.100056 60.074868, 26.775055 60.298596, 26.883649 60.501141))"
46,GTMO-PR,"<div class=""googft-info-window"">
<b>id:</b> gtmo-pr<br>
<b>cable_id:</b> 1918<br>
<b>description:</b> [{""landing_point_id"":17027,""name"":""Guantanamo Bay, Cuba"",""latlon"":""19.939612,-75.158161""},{""landing_point_id"":17029,""name"":""Punta Salina, PR, United Sta",gtmo-pr,1918,#b6b8ba,"1,200 km",2018,U.S. Government,,"MULTILINESTRING ((-66.185755 18.472994, -66.487379 18.998068, -67.049878 19.423008, -69.299877 20.269544, -70.116539 20.328162, -71.549875 20.480466, -73.349874 20.480466, -73.856123 20.375041, -74.035078 20.183179, -74.249873 19.952623, -74.699873 19.688034, -74.924873 19.740941, -75.158161 19.939611))"
47,GTMO-1,"<div class=""googft-info-window"">
<b>id:</b> gtmo-1<br>
<b>cable_id:</b> 1917<br>
<b>description:</b> [{""landing_point_id"":17028,""name"":""Dania Beach, FL, United States"",""latlon"":""26.052317,-80.143943""},{""landing_point_id"":17027,""name"":""Guantanamo Bay, Cub",gtmo-1,1917,#8cc740,"1,528 km",2016,U.S. Government,,"MULTILINESTRING ((-80.143942 26.052311, -79.762369 25.95718, -78.41237 26.159308, -77.512371 25.754704, -76.83117 25.813356, -76.240643 25.599109, -75.599872 25.145122, -74.924873 24.430272, -74.699873 24.0199, -74.587373 23.711258, -74.587373 23.298598, -74.699873 22.884654, -74.474873 22.052986, -74.024873 21.216398, -73.912373 20.796306, -74.024824 20.375041, -74.091328 20.183179, -74.306123 19.952623, -74.699873 19.740987, -74.924873 19.793831, -75.158161 19.939611))"
48,North Sea Connect,"<div class=""googft-info-window"">
<b>id:</b> north-sea-connect<br>
<b>cable_id:</b> 1912<br>
<b>description:</b> [{""landing_point_id"":3250,""name"":""Esbjerg, Denmark"",""latlon"":""55.465218,8.456899""},{""landing_point_id"":4495,""name"":""Newcastle, United Kingdom""",north-sea-connect,1912,#b6b8ba,700 km,November 2019,Aqua Comms,http://www.aquacomms.com,"MULTILINESTRING ((8.456904 55.465222, 8.100068 55.46235, 7.650069 55.46235, 3.150072 55.334581, -0.899925 55.077801, -1.617784 54.978251))"
49,CeltixConnect-2,"<div class=""googft-info-window"">
<b>id:</b> celtixconnect-2<br>
<b>cable_id:</b> 1911<br>
<b>description:</b> [{""landing_point_id"":8408,""name"":""Blackpool, United Kingdom"",""latlon"":""53.808663,-3.050749""},{""landing_point_id"":3077,""name"":""Dublin, Ireland"",""",celtixconnect-2,1911,#b6b8ba,n.a.,November 2019,Aqua Comms,http://www.aquacomms.com,"MULTILINESTRING ((-6.24831 53.348126, -5.624922 53.401608, -3.599923 53.635715, -3.050754 53.808977))"
50,COBRAcable,"<div class=""googft-info-window"">
<b>id:</b> cobracable<br>
<b>cable_id:</b> 1904<br>
<b>description:</b> [{""landing_point_id"":5916,""name"":""Eemshaven, Netherlands"",""latlon"":""53.442806,6.816019""},{""landing_point_id"":16951,""name"":""Endrup, Denmark"",""latlon"":",cobracable,1904,#b6b8ba,326 km,2019,Relined,https://relined.eu/en/cobra-fiber-optic-cable/,"MULTILINESTRING ((8.718391 55.523116, 8.100068 55.52608, 7.650069 55.398517, 6.975069 54.034038, 6.816024 53.442802))"
51,Kanawa,"<div class=""googft-info-window"">
<b>id:</b> kanawa<br>
<b>cable_id:</b> 1914<br>
<b>description:</b> [{""landing_point_id"":8833,""name"":""Kourou, French Guiana"",""latlon"":""5.168293,-52.645550""},{""landing_point_id"":17024,""name"":""Schoelcher, Martinique"",""latlo",kanawa,1914,#b6b8ba,"1,745 km",September 2018,Orange,,"MULTILINESTRING ((-61.112138 14.629002, -61.199834 14.474609, -61.087382 14.365654, -60.974883 14.365654, -59.849883 13.929304, -58.049885 12.615396, -54.899887 9.524411, -52.874888 5.957819, -52.645555 5.1683))"
52,FLY-LION3,"<div class=""googft-info-window"">
<b>id:</b> fly-lion3<br>
<b>cable_id:</b> 1915<br>
<b>description:</b> [{""landing_point_id"":10123,""name"":""Kaweni, Mayotte"",""latlon"":""-12.817099,45.165854""},{""landing_point_id"":4227,""name"":""Moroni, Comoros"",""latlon"":""-11.7",fly-lion3,1915,#b6b8ba,400 km,2018,"Orange,  Comoros Cables,  Société Réunionnaise du Radiotéléphone",,"MULTILINESTRING ((43.243305 -11.700587, 43.143794 -11.943945, 43.312544 -12.163984, 43.537543 -12.163984, 43.875043 -12.163984, 44.550043 -12.603512, 45.000042 -12.822996, 45.165765 -12.817092))"
72,S-U-B Cable System,"<div class=""googft-info-window"">
<b>id:</b> s-u-b-cable-system<br>
<b>cable_id:</b> 1880<br>
<b>description:</b> [{""landing_point_id"":7803,""name"":""Banjarmasin, Indonesia"",""latlon"":""-3.327967,114.604005""},{""landing_point_id"":9720,""name"":""Makassar, Indones",s-u-b-cable-system,1880,#ce5729,"2,009 km",2008,Telkom Indonesia,,"MULTILINESTRING ((114.603997 -3.327584, 114.187493 -3.703826, 113.849994 -4.825692, 112.724994 -6.393099, 112.724994 -6.616651, 112.746674 -7.258592, 112.837494 -6.616651, 112.949994 -6.393099, 114.456048 -5.874214, 116.140886 -5.874214, 117.449991 -6.169451, 118.79999 -5.273944, 119.412392 -5.152185, 118.79999 -5.161911, 116.583097 -4.628709, 114.749993 -4.601454, 114.299993 -4.377144, 114.299993 -3.703826, 114.603997 -3.327584))"
53,Deep Blue Cable,"<div class=""googft-info-window"">
<b>id:</b> deep-blue-cable<br>
<b>cable_id:</b> 1913<br>
<b>description:</b> [{""landing_point_id"":16979,""name"":""Arcahaie, Haiti"",""latlon"":""18.770338,-72.513094""},{""landing_point_id"":4315,""name"":""Barranquilla, Colombia"",""l",deep-blue-cable,1913,#b6b8ba,"12,000 km",Q4 2020,Deep Blue Cable,http://www.deepbluecable.com,"MULTILINESTRING ((-81.415365 19.380062, -81.478475 19.160974), (-64.597146 18.414411, -64.835744 18.628579, -65.98108 18.785188, -66.487379 18.944873), (-57.149885 8.190543, -57.712385 7.298763, -58.154865 6.804291), (-60.749883 10.963557, -60.074883 10.632033, -57.149885 8.190543, -56.249886 7.298763, -55.349887 6.181557, -55.173886 5.824032), (-60.974883 11.073983, -60.749883 10.963557, -60.749883 10.687312, -61.038152 10.506574), (-77.962371 18.678647, -77.962371 18.572039, -77.921379 18.469359), (-74.779756 10.94045, -75.149873 11.73565, -74.924873 13.054151, -74.249873 14.365654, -73.799873 15.235782), (-70.199876 20.163975, -70.691184 19.799436), (-72.562374 21.321235, -72.112375 21.111486, -71.549875 21.0065, -70.537376 20.375041, -70.199876 20.163975, -69.299877 20.111164, -67.049878 19.316876, -66.487379 18.944873, -66.106666 18.466105), (-74.699873 19.316876, -74.249873 19.210675, -73.574874 19.210675, -72.802657 18.971207, -72.513095 18.770337))"
54,Deep Blue Cable,"<div class=""googft-info-window"">
<b>id:</b> deep-blue-cable<br>
<b>cable_id:</b> 1913<br>
<b>description:</b> [{""landing_point_id"":16979,""name"":""Arcahaie, Haiti"",""latlon"":""18.770338,-72.513094""},{""landing_point_id"":4315,""name"":""Barranquilla, Colombia"",""l",deep-blue-cable,1913,#b6b8ba,"12,000 km",Q4 2020,Deep Blue Cable,http://www.deepbluecable.com,"MULTILINESTRING ((-68.624877 11.845776, -68.265551 12.144336), (-61.649882 11.073983, -61.65081 10.686257), (-70.049925 12.61692, -69.749876 13.054151), (-75.404413 17.403188, -76.274872 17.502346, -76.792059 17.992407), (-72.449874 22.052986, -72.119406 21.851092), (-80.088932 26.350586, -79.649869 26.612815, -77.849871 27.164666, -77.399871 27.06453, -76.949871 26.562513, -76.499872 26.159308, -73.349874 23.298598, -72.562374 22.469444, -72.449874 22.052986, -72.449874 21.635297, -72.562374 21.321235, -72.899874 21.0065, -73.349874 20.796306, -74.137373 19.952623, -74.699873 19.316876, -75.149873 18.251816, -75.374872 17.395023, -75.374872 16.965103, -74.924873 16.342371, -73.799873 15.235782, -71.549875 13.492128, -70.199876 13.273238, -69.749876 13.054151, -69.524877 12.834869, -69.356127 12.285834, -69.074877 12.065895, -68.896471 12.095582, -68.624877 11.845776, -68.399877 11.62548, -65.699879 11.073983, -63.89988 11.405009, -62.099882 11.184367, -61.649882 11.073983, -60.974883 11.073983, -60.735344 11.182451), (-78.29987 17.663212, -78.29987 16.534196, -78.74987 12.175887, -79.649869 9.967915, -79.753476 9.437721), (-79.19987 18.678647, -78.97487 18.251816, -78.29987 17.663212), (-77.10324 18.398659, -77.399871 18.572039, -77.962371 18.678647, -79.19987 18.678647, -80.549869 18.891662, -82.460408 19.44526, -84.599866 20.585831, -85.274865 21.635297, -85.274865 22.677206, -84.824866 23.50509, -83.249867 24.737178, -81.795791 26.139047))"
